Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m3, T1, T2, f)
admix_origin_sym_mig_adj	Round_3_Replicate_7	-946.09	1908.18	145422142.5	175.86	1.7513,0.2277,5.9101,0.7069,0.6397,0.0923,0.2373,0.8776
admix_origin_sym_mig_adj	Round_3_Replicate_8	-1217.18	2450.36	4298.9	199.64	1.2085,0.0784,4.6113,2.3838,0.4346,0.1817,0.3508,0.2159
admix_origin_sym_mig_adj	Round_3_Replicate_9	-1274.58	2565.16	25721.27	163.85	1.7552,0.1514,1.7797,0.4397,0.674,0.3341,0.8767,0.2204
admix_origin_sym_mig_adj	Round_3_Replicate_10	-1326.27	2668.54	684146966.77	113.32	5.9053,0.0741,4.7616,4.4837,1.8811,0.0988,2.0171,0.7078
admix_origin_sym_mig_adj	Round_3_Replicate_11	-1392.21	2800.42	7069.7	188.81	0.6976,0.0642,6.7032,4.369,0.7093,0.1627,1.485,0.296
admix_origin_sym_mig_adj	Round_3_Replicate_12	-1544.74	3105.48	3399.34	179.95	0.7704,0.5161,1.3039,1.5715,0.6384,0.2714,1.4429,0.4628
admix_origin_sym_mig_adj	Round_3_Replicate_13	-1174.78	2365.56	130630.61	165.2	1.0023,0.0994,5.3285,2.5226,1.0716,0.195,0.8873,0.1926
admix_origin_sym_mig_adj	Round_3_Replicate_14	-1017.26	2050.52	7805890.92	115.45	2.5311,0.2154,7.2432,1.514,0.7385,0.2494,0.7146,0.9612
admix_origin_sym_mig_adj	Round_3_Replicate_15	-1475.39	2966.78	24413298950.87	169.02	2.8625,0.1254,1.044,2.3727,4.8373,0.7726,1.2097,0.1186
admix_origin_sym_mig_adj	Round_3_Replicate_16	-1302.59	2621.18	51020095.07	156.5	0.9921,0.0914,6.1121,3.4078,2.3276,0.629,2.1153,0.108
admix_origin_sym_mig_adj	Round_3_Replicate_17	-1436.43	2888.86	222803479.74	232.31	0.606,0.3103,6.7018,4.5152,3.3348,0.151,0.1891,0.4863
admix_origin_sym_mig_adj	Round_3_Replicate_18	-1313.83	2643.66	1697214.96	157.31	0.9667,0.0773,13.7958,4.081,1.5272,0.1604,1.7043,0.1227
admix_origin_sym_mig_adj	Round_3_Replicate_19	-1368.33	2752.66	4930.22	172.02	0.972,0.1093,6.9204,1.3681,0.5413,1.0284,0.3562,0.1176
admix_origin_sym_mig_adj	Round_3_Replicate_20	-1386.99	2789.98	59557.3	110.32	4.8647,0.1279,2.3022,2.1768,0.6398,0.3852,1.7187,0.5026
admix_origin_sym_mig_adj	Round_3_Replicate_21	-1356.54	2729.08	5544.8	199.13	0.6571,0.173,2.9924,2.3005,0.5289,0.6457,0.6089,0.1642
admix_origin_sym_mig_adj	Round_3_Replicate_22	-1423.97	2863.94	5492.4	164.53	1.6006,0.1603,1.4536,1.8072,0.7475,0.1559,1.7689,0.3344
admix_origin_sym_mig_adj	Round_3_Replicate_23	-1007.57	2031.14	9676799.48	115.24	1.3632,0.3087,9.8733,0.6853,1.0055,0.1067,0.7677,0.059
admix_origin_sym_mig_adj	Round_3_Replicate_24	-1188.48	2392.96	1021106.24	163.74	1.0929,0.0803,4.9226,0.9895,1.0011,0.4503,0.5142,0.4188
admix_origin_sym_mig_adj	Round_3_Replicate_25	-1267.28	2550.56	4251.82	222.19	0.6329,0.1778,3.6827,1.8132,0.6453,0.4496,0.3136,0.1527
