Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, m1, m2, T1, T2)
refugia_adj_2	Round_3_Replicate_6	-1060.24	2136.48	2733811.14	154.36	3.1587,1.3227,3.3508,0.3357,3.4045,0.3909,0.4284,0.1615
refugia_adj_2	Round_3_Replicate_7	-1222.99	2461.98	147827.55	130.46	5.0,1.0315,3.1665,0.9545,2.7096,1.8532,0.3615,0.3174
refugia_adj_2	Round_3_Replicate_8	-1451.13	2918.26	800058.97	261.75	1.3273,0.3154,9.4047,0.565,0.7625,0.7149,0.0485,0.0808
refugia_adj_2	Round_3_Replicate_9	-1338.07	2692.14	16252160.87	273.11	0.8173,0.1876,1.8634,0.8683,6.2123,0.2316,0.1407,0.1412
refugia_adj_2	Round_3_Replicate_10	-1375.52	2767.04	258055.03	181.18	0.8339,0.1474,12.9359,1.4432,0.8407,0.3272,0.0546,0.2458
refugia_adj_2	Round_3_Replicate_11	-1159.63	2335.26	14061.31	216.12	2.8237,0.1242,1.496,0.2662,1.0603,1.0866,0.1483,0.2359
refugia_adj_2	Round_3_Replicate_12	-1127.83	2271.66	687602623.66	177.19	5.189,0.2498,1.5806,0.5363,2.2886,1.0977,0.1425,0.3004
refugia_adj_2	Round_3_Replicate_13	-1093.57	2203.14	2707170.36	179.4	0.666,0.2019,7.501,0.4037,5.1976,0.2408,0.0548,0.3965
refugia_adj_2	Round_3_Replicate_14	-1567.3	3150.6	87226.35	173.34	5.1858,0.2013,1.3305,1.0012,1.1243,0.9834,0.499,0.1668
refugia_adj_2	Round_3_Replicate_15	-1293.74	2603.48	80384080.53	231.26	1.1259,0.2568,3.4469,1.0495,2.4936,0.5548,0.0468,0.1568
refugia_adj_2	Round_3_Replicate_16	-1334.89	2685.78	90552175.81	168.16	4.456,0.6321,18.1692,0.5428,1.0829,2.5084,0.1158,0.167
refugia_adj_2	Round_3_Replicate_17	-1169.91	2355.82	10940770.49	183.39	2.226,0.1312,6.4196,0.7328,1.4372,0.3065,0.1492,0.2111
refugia_adj_2	Round_3_Replicate_18	-1306.45	2628.9	346455.83	190.7	0.6545,0.2021,8.8481,0.7041,1.3627,0.8472,0.375,0.2718
refugia_adj_2	Round_3_Replicate_19	-1411.97	2839.94	6791.89	314.85	0.6449,0.2078,2.3127,0.1215,5.477,0.4019,0.3838,0.0855
refugia_adj_2	Round_3_Replicate_20	-1413.43	2842.86	4903881309.68	210.66	1.0375,0.1853,3.3561,1.2627,5.1958,1.6977,0.4678,0.2085
refugia_adj_2	Round_3_Replicate_21	-1437.26	2890.52	272822648.49	181.46	3.6087,1.1162,15.7138,0.447,4.9385,0.2204,0.3223,0.0511
refugia_adj_2	Round_3_Replicate_22	-1187.8	2391.6	1641609840.91	126.71	8.8049,0.8369,5.3238,0.1675,2.3575,2.5261,0.4983,0.2089
refugia_adj_2	Round_3_Replicate_23	-921.25	1858.5	2528715618.81	99.7	8.362,1.4859,10.3493,0.6678,0.8949,0.305,0.3641,0.3462
refugia_adj_2	Round_3_Replicate_24	-1205.13	2426.26	6117.9	194.16	3.6232,0.1779,6.0387,0.1582,0.4871,0.4577,0.1674,0.1626
refugia_adj_2	Round_3_Replicate_25	-1083.93	2183.86	104261152.83	97.43	7.134,0.4484,4.5578,1.7466,1.2173,0.5341,0.6571,0.4824
refugia_adj_2	Round_3_Replicate_26	-1400.75	2817.5	33690031.65	98.55	6.3174,0.1098,15.8287,0.8449,0.8882,1.082,0.6518,0.4018
refugia_adj_2	Round_3_Replicate_27	-1481.79	2979.58	425971.86	216.71	0.8156,1.2668,4.0781,1.0742,6.1761,1.2982,0.1606,0.1188
refugia_adj_2	Round_3_Replicate_28	-1101.36	2218.72	3404952.21	154.64	8.8054,0.4386,3.0572,0.3162,4.5609,0.5978,0.0446,0.3222
refugia_adj_2	Round_3_Replicate_29	-1100.44	2216.88	223945.19	209.53	1.9433,0.4851,6.3553,0.2179,0.7205,1.7612,0.1139,0.1446
refugia_adj_2	Round_3_Replicate_30	-1209.19	2434.38	17832168.19	183.44	5.5133,0.3685,6.0419,0.3798,0.5578,2.9172,0.0454,0.1962
refugia_adj_2	Round_4_Replicate_1	-848.82	1713.64	772014869.23	107.59	4.5982,1.9472,5.9854,0.5013,0.9045,0.1586,0.3298,0.4489
refugia_adj_2	Round_4_Replicate_2	-892.54	1801.08	2399024860.73	103.92	11.3461,1.1992,6.3946,0.596,0.8349,0.1425,0.2668,0.401
refugia_adj_2	Round_4_Replicate_3	-864.57	1745.14	51085844.2	103.98	7.1471,1.5143,8.2074,1.0712,0.4546,0.1309,0.1938,0.4238
refugia_adj_2	Round_4_Replicate_4	-886.91	1789.82	5103815.17	78.18	9.9598,2.0499,7.7706,0.6087,1.0661,0.1779,0.549,0.588
refugia_adj_2	Round_4_Replicate_5	-1028.27	2072.54	71876604.12	112.28	6.8128,1.1106,12.1919,0.8646,1.6063,0.1889,0.2685,0.2897
refugia_adj_2	Round_4_Replicate_6	-988.51	1993.02	4250.39	97.35	7.9468,0.9523,19.1429,0.384,1.0129,0.5579,0.4218,0.3437
refugia_adj_2	Round_4_Replicate_7	-832.66	1681.32	47684856.74	96.45	6.4438,1.7797,7.1018,0.6171,0.427,0.4669,0.17,0.6196
refugia_adj_2	Round_4_Replicate_8	-875.4	1766.8	4396456613.4	107.24	4.0106,1.3022,5.8165,0.7212,1.1861,0.1793,0.3257,0.5071
refugia_adj_2	Round_4_Replicate_9	-854.69	1725.38	100663964.46	118.7	4.9032,0.9598,5.452,0.4121,0.7463,0.4265,0.1841,0.4647
refugia_adj_2	Round_4_Replicate_10	-996.23	2008.46	22307073661.08	85.0	11.3896,0.8786,7.1315,0.4313,1.3907,0.5332,0.6861,0.4721
refugia_adj_2	Round_4_Replicate_11	-941.69	1899.38	4855068958.67	120.34	6.622,1.1213,6.8139,0.3959,1.3615,0.1888,0.3856,0.252
refugia_adj_2	Round_4_Replicate_12	-929.9	1875.8	25833497.05	115.04	9.0237,0.9389,9.6331,0.8068,0.5399,0.17,0.2103,0.3121
refugia_adj_2	Round_4_Replicate_13	-820.01	1656.02	184302634.94	78.76	5.6219,2.9975,9.1674,0.7209,0.6139,0.1748,0.6418,0.5851
refugia_adj_2	Round_4_Replicate_14	-1026.77	2069.54	80865809.6	114.31	8.337,0.9475,10.0945,0.6183,1.5823,0.1914,0.412,0.2288
refugia_adj_2	Round_4_Replicate_15	-917.62	1851.24	45355.86	87.35	6.0694,1.1469,11.7657,0.3893,1.0393,0.2438,0.7189,0.4341
refugia_adj_2	Round_4_Replicate_16	-924.02	1864.04	342562.98	91.97	6.4819,1.1315,8.2664,0.5365,0.4915,0.5536,0.679,0.4439
refugia_adj_2	Round_4_Replicate_17	-905.68	1827.36	325429482.71	105.95	5.8825,2.3571,7.7505,1.2073,0.6527,0.1868,0.2329,0.384
refugia_adj_2	Round_4_Replicate_18	-901.37	1818.74	1034261362.86	94.19	10.6515,2.6314,12.1091,0.9796,0.4235,0.1502,0.2428,0.3859
refugia_adj_2	Round_4_Replicate_19	-989.63	1995.26	43355112.82	103.87	5.8315,1.8414,6.4201,1.3536,1.3459,0.4989,0.1777,0.4867
refugia_adj_2	Round_4_Replicate_20	-887.74	1791.48	51068633.08	88.98	13.2153,0.7967,7.046,1.1063,0.4917,0.2872,0.2098,0.5935
refugia_adj_2	Round_4_Replicate_21	-1001.53	2019.06	6700366512.81	112.25	12.9779,1.5169,7.9035,1.0389,0.7868,0.1896,0.1923,0.3108
refugia_adj_2	Round_4_Replicate_22	-894.3	1804.6	125186642.24	111.34	6.4344,1.5915,12.8296,0.5297,0.4677,0.4374,0.2037,0.3323
refugia_adj_2	Round_4_Replicate_23	-821.1	1658.2	10041377.99	87.76	5.4224,3.1132,7.4099,0.8353,0.4959,0.2107,0.5404,0.4987
refugia_adj_2	Round_4_Replicate_24	-868.57	1753.14	6032682.45	83.72	12.7283,2.3257,7.7118,0.7448,0.8433,0.1667,0.2626,0.594
refugia_adj_2	Round_4_Replicate_25	-960.46	1936.92	47522959.81	94.69	6.2097,2.1772,7.5831,0.3784,1.698,0.5343,0.313,0.5554
refugia_adj_2	Round_4_Replicate_26	-952.61	1921.22	3211942.74	126.52	6.8243,1.0342,6.1002,0.3415,1.7739,0.1439,0.322,0.2471
refugia_adj_2	Round_4_Replicate_27	-931.03	1878.06	90792140.27	93.66	5.6127,2.6631,12.0142,1.0482,0.5632,0.4687,0.3598,0.397
refugia_adj_2	Round_4_Replicate_28	-935.4	1886.8	15217021.1	109.75	5.4239,0.8734,7.5167,0.5847,0.9247,0.2095,0.5729,0.3093
refugia_adj_2	Round_4_Replicate_29	-888.58	1793.16	2003941553.08	95.98	4.9843,2.2732,7.4529,0.7807,1.0815,0.1871,0.564,0.3882
refugia_adj_2	Round_4_Replicate_30	-920.65	1857.3	1062746023.72	95.77	4.4983,1.9929,5.9002,0.9786,1.1494,0.268,0.6409,0.4534
refugia_adj_2	Round_4_Replicate_31	-1117.84	2251.68	4338793.23	101.31	11.131,0.8655,16.4846,0.4172,1.4625,0.4928,0.6588,0.2026
refugia_adj_2	Round_4_Replicate_32	-1050.32	2116.64	1728274.5	84.39	9.6588,1.2444,17.069,1.0044,1.0549,0.362,0.6981,0.3239
refugia_adj_2	Round_4_Replicate_33	-982.17	1980.34	4979387.17	83.35	7.8051,0.8665,7.4334,1.2753,1.2475,0.5902,0.4524,0.6419
refugia_adj_2	Round_4_Replicate_34	-877.91	1771.82	2039104.69	89.82	4.6963,2.3908,7.2415,0.7327,1.2594,0.1653,0.6592,0.4738
refugia_adj_2	Round_4_Replicate_35	-924.38	1864.76	283848686.32	114.86	6.0587,1.4179,6.8088,0.9877,0.709,0.4273,0.175,0.382
refugia_adj_2	Round_4_Replicate_36	-960.37	1936.74	5900355.81	103.45	6.6598,1.4095,9.0212,0.9865,1.3243,0.2337,0.3676,0.3366
refugia_adj_2	Round_4_Replicate_37	-918.35	1852.7	12151764.4	73.45	11.4328,1.5434,13.5945,1.0907,0.8513,0.2451,0.4358,0.5806
refugia_adj_2	Round_4_Replicate_38	-944.28	1904.56	9131945.8	82.68	10.3933,2.6906,6.2533,0.4905,1.3573,0.4899,0.6149,0.4955
refugia_adj_2	Round_4_Replicate_39	-893.22	1802.44	1620046016.9	93.06	3.8889,2.7899,7.1825,0.5477,1.0266,0.4657,0.5152,0.5708
refugia_adj_2	Round_4_Replicate_40	-877.94	1771.88	8247928.7	84.66	4.7175,1.5836,7.6648,1.051,0.609,0.3812,0.6461,0.6296
