Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m2, T1, T2)
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_7	-1115.54	2245.08	2002985.82	123.67	3.7062,3.216,0.3759,2.53,0.0429,0.7243,0.0446
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_8	-968.21	1950.42	475406.53	168.63	1.0536,8.5792,0.4787,1.0389,0.09,0.2216,0.0499
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_9	-1238.93	2491.86	29601.64	114.75	5.4439,2.9509,3.0102,0.558,0.0254,0.6374,0.0382
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_10	-954.73	1923.46	12384011.3	77.4	6.8103,7.9327,0.6006,2.8607,0.1345,1.0732,0.0275
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_11	-1181.48	2376.96	25950152.67	117.92	8.9338,4.1927,3.338,0.4037,0.1256,0.4109,0.0772
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_12	-1048.49	2110.98	16033664.11	125.7	11.4103,8.2605,0.2791,2.5129,0.0628,0.3278,0.0497
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_13	-1285.36	2584.72	154106.49	169.46	1.6242,23.1177,0.878,5.7174,0.3464,0.1526,0.0603
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_14	-1067.77	2149.54	3633.86	86.68	0.9524,12.3535,1.3001,2.4994,0.0254,0.9699,0.1093
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_15	-1050.67	2115.34	135426.68	140.43	1.535,3.04,1.1589,2.8388,0.0597,0.4841,0.21
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_16	-1319.46	2652.92	172158671.21	123.32	6.8474,14.3721,3.3432,0.9387,0.3279,0.2927,0.0347
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_17	-899.32	1812.64	56956.85	98.89	2.585,9.9305,0.593,1.3134,0.0428,0.5109,0.239
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_18	-981.27	1976.54	4602268.59	114.51	4.8998,8.5955,0.3927,2.3203,0.0599,0.367,0.1368
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_19	-969.42	1952.84	32401985.88	113.6	1.8114,14.3206,0.3669,5.8719,0.3501,0.5048,0.0176
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_20	-1433.03	2880.06	90598541.72	175.1	2.6326,6.9062,3.7335,0.4337,0.0385,0.184,0.0206
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_21	-851.28	1716.56	43554620.91	129.53	6.2531,4.9947,0.5371,0.4593,0.3372,0.3895,0.0598
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_22	-1025.7	2065.4	774320.64	185.23	0.928,5.1345,0.7616,2.8482,0.0885,0.2252,0.0331
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_23	-1260.32	2534.64	66625582.65	169.33	1.642,3.4686,3.3846,1.8058,0.0377,0.17,0.1408
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_24	-1613.24	3240.48	15865748437.54	166.93	4.457,24.0937,2.6787,1.0762,0.1047,0.1478,0.0331
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_25	-884.2	1782.4	7362.35	76.99	2.829,12.4535,1.2984,2.1981,0.0615,0.9698,0.084
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_26	-1019.4	2052.8	14189340.69	157.3	11.0291,5.7886,0.2451,1.2384,0.1968,0.1872,0.0795
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_27	-1304.85	2623.7	32250280132.37	155.19	10.0743,22.104,0.641,5.9806,0.254,0.1954,0.0136
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_28	-1025.58	2065.16	525433.73	138.32	1.4246,9.464,1.4832,1.2948,0.0362,0.3132,0.0558
sim_split_refugia_sym_mig_adjacent	Round_3_Replicate_29	-1267.39	2548.78	45683.41	145.74	0.9124,10.4008,2.3311,5.1873,0.1522,0.2305,0.1589
