Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1, T2)
split_symmig_adjacent	Round_3_Replicate_6	-1120.43	2258.86	10413082.93	88.79	0.7608,0.5887,16.4569,1.235,1.9808,1.1366,0.0609,0.0734,1.0653
split_symmig_adjacent	Round_3_Replicate_7	-1466.42	2950.84	3722.46	79.38	0.9846,0.5763,7.2982,0.3146,6.2924,0.2009,0.381,0.0366,3.1711
split_symmig_adjacent	Round_3_Replicate_8	-1038.69	2095.38	215929.44	74.99	2.9588,0.9346,16.4651,1.8369,0.6313,0.1986,0.4791,0.036,0.9509
split_symmig_adjacent	Round_3_Replicate_9	-954.2	1926.4	107252.66	134.58	1.5791,0.8293,8.0287,1.0774,1.3432,0.4614,0.0351,0.1915,0.3656
split_symmig_adjacent	Round_3_Replicate_10	-1650.23	3318.46	34892.06	60.62	0.6011,0.519,16.2114,0.2627,5.6655,0.4657,0.1806,0.3177,3.8287
split_symmig_adjacent	Round_3_Replicate_11	-993.01	2004.02	22984211.42	133.91	1.6486,0.422,21.1583,0.442,2.9173,0.575,0.0924,0.0305,0.3482
split_symmig_adjacent	Round_3_Replicate_12	-1045.39	2108.78	90133.02	107.32	1.1237,1.9858,7.3089,2.0348,3.3707,0.5729,0.0356,0.0676,0.7441
split_symmig_adjacent	Round_3_Replicate_13	-1567.03	3152.06	9724.07	45.71	0.6118,0.5535,19.6893,2.0171,8.3757,0.3167,0.0806,0.3229,3.9879
split_symmig_adjacent	Round_3_Replicate_14	-1299.27	2616.54	2086.37	92.02	1.5461,0.2963,3.5476,0.7618,1.0141,0.2435,0.1593,0.3335,2.7404
split_symmig_adjacent	Round_3_Replicate_15	-992.24	2002.48	221307.47	69.26	1.5714,0.2949,18.7388,1.7037,1.2628,1.0307,0.0689,0.2719,1.3955
split_symmig_adjacent	Round_3_Replicate_16	-1154.29	2326.58	282998.3	169.84	0.8215,0.3307,17.9705,0.2251,4.9432,0.5286,0.0319,0.1479,0.2605
split_symmig_adjacent	Round_3_Replicate_17	-1005.69	2029.38	113076704.37	67.72	5.1092,0.6267,18.7388,1.3806,1.3746,1.5453,0.2563,0.3971,0.9217
split_symmig_adjacent	Round_3_Replicate_18	-825.27	1668.54	1813293.92	60.98	8.5369,0.7032,13.5306,0.8768,0.7387,0.1564,0.0622,0.1941,1.1989
