#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <prior id="lambdaPrior.rep4" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.rep4" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.base.inference.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.base.inference.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.rep4" nodetype="snap.NodeData" spec="beast.base.evolution.tree.ClusterTree">
#                <taxa dataType="integerdata" id="snap.rep4" spec="snap.Data">
#                    <taxonset id="Mindanao" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Mindanao_28329" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Mindanao_2253" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Mindanao_1271" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Luzon" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Luzon_25672" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Luzon_19638" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Luzon_17969" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Zamboanga" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Zamboanga_29945" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Zamboanga_19178" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Zamboanga_18193" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.rep4" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.rep4" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution">
#        <distribution data="@snap.rep4" id="treeLikelihood.rep4" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.rep4">
#            <siteModel id="MutationSiteModel.rep4" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-5323.821374561062	-5069.297665472852	-254.52370908821015	1.0	1.0	0.07690145736825485	0.07690145736825485	0.07690145736825485	0.07690145736825485	0.07690145736825485	0.17331642808580391
1000	-4296.315836746317	-4009.3054457696203	-287.0103909766967	27.764413384821186	0.5091694619088772	0.25363389759169325	0.13766127668506986	0.03009604514522702	0.4561514939461944	0.045915480880616595	0.04228923816320449
2000	-4257.0208935226765	-3999.5902326038868	-257.43066091878933	25.81337911051952	0.5098762002065582	0.27642032646711395	0.16371049709839067	0.07647944017010783	0.07627116565543285	0.0814024079676704	0.030639120096364006
3000	-4253.033247825646	-3998.854894728529	-254.17835309711666	30.860525761463336	0.5082343765046825	0.20294990246819145	0.1127244649149496	0.06213792290292462	0.19880297731637497	0.13492891608761337	0.021888989500332877
4000	-4245.751740671253	-3990.2694141779275	-255.48232649332533	36.56671965744406	0.5069315979488698	0.22683272946214475	0.11216408644666558	0.04533698884962661	0.10910282695471032	0.12285109234782246	0.01307276832072554
5000	-4245.052155537277	-3991.223784575832	-253.82837096144496	36.56671965744406	0.5069315979488698	0.22914078629108392	0.1292001279647819	0.05572617256874404	0.1175408498222556	0.0830490415679713	0.015533296360550798
6000	-4244.555139706711	-3992.1798060277147	-252.37533367899624	36.56671965744406	0.5069315979488698	0.21465666791205987	0.12340735640035351	0.058434802441147106	0.1319412057927445	0.09914193048917701	0.014166988978887997
7000	-4244.663911317991	-3990.789957011196	-253.87395430679462	37.731672195601256	0.5067147131798592	0.18518382698315494	0.0957445831561948	0.0408400320088212	0.10126251761512872	0.13283543881751034	0.010166401913381029
8000	-4243.1986747227265	-3987.639926353177	-255.55874836954945	48.43621935969751	0.5052152631838586	0.17622762809374917	0.10179768473911285	0.028662230215885938	0.09783950547577878	0.12242122830960167	0.008082113556080303
9000	-4244.215149198657	-3989.334593367577	-254.88055583107993	48.43621935969751	0.5052152631838586	0.13844759496479428	0.0979873189529891	0.02883630642503792	0.10732315140535956	0.14968727227955855	0.006645553563036545
10000	-4245.640234292749	-3991.744803228952	-253.89543106379674	47.82520666051495	0.5052825971113737	0.16784494955980855	0.10054769411085636	0.03599646523050191	0.13913930398277838	0.11950594614493987	0.012518674105344461
11000	-4242.882383343634	-3986.7188329285564	-256.1635504150768	50.934663596327084	0.5049569082486793	0.2005005812484483	0.0960603893054098	0.03390279641805647	0.11569671854965674	0.07518862850651013	0.009495058525773791
12000	-4244.2407499774035	-3988.0026819440764	-256.2380680333275	50.64610386249432	0.5049854321820401	0.21397391694231432	0.11819803092515167	0.03393342203192707	0.10875488886891407	0.1278948678500866	0.009357399890821313
13000	-4248.05850068491	-3988.9076680954204	-259.15083258948886	57.57889433111262	0.504379902640541	0.22695638687567468	0.056001546576989546	0.034849066152954286	0.12066887197862697	0.08667447895064323	0.008928495262989129
14000	-4242.837483077227	-3985.627849814816	-257.2096332624114	57.57889433111262	0.504379902640541	0.16939079307892596	0.07014650234790376	0.028121357491524945	0.09147236157729549	0.09005720319218039	0.006676892833941126
15000	-4246.943997946706	-3987.0305917512096	-259.9134061954967	59.05963958198982	0.5042691519583206	0.13783777791049853	0.09183899584715158	0.027194969689500987	0.13335867577633587	0.08342644211997603	0.00801652437959326
16000	-4244.647071877383	-3988.97639911575	-255.6706727616327	59.05963958198982	0.5042691519583206	0.1855583180137732	0.10688191868779987	0.03529634284830161	0.13074580280009138	0.07027736315477477	0.010615143761372384
17000	-4243.936766295243	-3987.478305827799	-256.4584604674441	61.2499350861871	0.5041152307347377	0.13114071991920662	0.08004632571380896	0.02837496229898228	0.0998303543766506	0.08943516088658754	0.006306670950640416
18000	-4247.151009127779	-3988.754107365452	-258.3969017623269	61.2499350861871	0.5041152307347377	0.14157314761713233	0.07625477256521765	0.023500771738917584	0.11185102674231447	0.08695094166577197	0.006172275643297287
