#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <prior id="lambdaPrior.rep2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.rep2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.base.inference.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.base.inference.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.rep2" nodetype="snap.NodeData" spec="beast.base.evolution.tree.ClusterTree">
#                <taxa dataType="integerdata" id="snap.rep2" spec="snap.Data">
#                    <taxonset id="Mindanao" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Mindanao_14065" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Mindanao_2229" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Mindanao_3208" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Luzon" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Luzon_25868" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Luzon_18070" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Luzon_462070" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="Zamboanga" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="Zamboanga_18159" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Zamboanga_19177" spec="beast.base.evolution.alignment.Taxon"/>
#                        <taxon id="Zamboanga_18191" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.rep2" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.rep2" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution">
#        <distribution data="@snap.rep2" id="treeLikelihood.rep2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.rep2">
#            <siteModel id="MutationSiteModel.rep2" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	TreeHeightLogger
0	-5838.333639378128	-5577.195714536265	-261.1379248418633	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.4450163211852721
1000	-4487.892956862933	-4230.307594140957	-257.58536272197586	26.308089125816693	0.5096868853320069	0.1887160544160179	0.22196965978499816	0.08285569246275942	0.13912355715787522	0.06630975208550735	0.03760547585963995
2000	-4476.590196223729	-4218.642128629295	-257.94806759443424	27.207937787860036	0.5093605130424422	0.23081348473041552	0.2721410840557451	0.08321971373651242	0.11816325839813839	0.10739726244609052	0.031926807547535276
3000	-4469.43382790958	-4215.002052224987	-254.43177568459345	30.327566016050056	0.5083815085637721	0.20234354825583617	0.19283951022239396	0.0499266143825479	0.14551182967981818	0.1403518163671566	0.018407400690675785
4000	-4470.231512187688	-4218.591519483518	-251.63999270417023	30.63246547120203	0.5082966991280196	0.20675174155770568	0.17835928867037493	0.06638010570609916	0.11850500516550859	0.11319053098888625	0.019905064957117517
5000	-4471.304603036764	-4215.22341316078	-256.08118987598345	31.528786218497377	0.5080570344659814	0.21872570169869784	0.22277906231139044	0.06262573672374135	0.10242900240864425	0.12805502743658145	0.020349707295852795
6000	-4473.747325926312	-4215.050679668893	-258.6966462574194	32.35749087068173	0.5078474479052609	0.27933605899209796	0.23805940225623837	0.06833384560870827	0.10142066201282561	0.11241404906280639	0.019739946931086893
7000	-4469.310405732354	-4215.829111236164	-253.48129449619043	39.54529355957765	0.5064028203455183	0.15102971465767764	0.16675114452730092	0.040348311662202395	0.09305972578468842	0.08240538408532838	0.015001964826397804
8000	-4467.221595932299	-4214.8516433800305	-252.36995255226867	39.54529355957765	0.5064028203455183	0.15647493327229808	0.15267199200111606	0.04439374362627759	0.09956454904027272	0.15644808288772766	0.012567525054904572
9000	-4466.8518313133145	-4213.040436175354	-253.81139513796015	39.54529355957765	0.5064028203455183	0.1818788430915701	0.17165314136851698	0.03988233789677185	0.10540936670482434	0.13153970771164591	0.011353142967185864
10000	-4469.896292240054	-4216.538767617921	-253.35752462213367	39.54529355957765	0.5064028203455183	0.18309586285236634	0.14161773662824179	0.05078492620984399	0.06731002577774893	0.113056719260493	0.015899811573140254
11000	-4466.987120481187	-4213.355652899737	-253.6314675814498	36.27151894400424	0.5069888002349395	0.18278657614472604	0.17016478464950127	0.041176440957014844	0.12076995315526735	0.1402522225778039	0.01408190184719041
12000	-4469.743190873982	-4215.289966099096	-254.45322477488543	35.25544150042995	0.5071931182343608	0.1791803656955124	0.1920020655027903	0.047428762298124184	0.09698592136156797	0.08437369613516384	0.016817173970836426
13000	-4469.732249772022	-4213.7073352372845	-256.02491453473755	35.25544150042995	0.5071931182343608	0.18168286824958696	0.1895601933493536	0.0466692471276462	0.1725551757441599	0.10155861850420583	0.019419787420156875
14000	-4472.0170931942275	-4214.0711439695515	-257.9459492246761	49.7096712846896	0.5050803021738083	0.169033043510137	0.1405730913620829	0.03608889398408917	0.0520743578874169	0.08106203008793085	0.012121174130056865
15000	-4470.61167181986	-4216.94766233002	-253.66400948983986	48.89611205846887	0.5051657042139659	0.18120328166803684	0.12445836878617031	0.03796078310063594	0.09858656154878614	0.14396517603245929	0.011338733381897344
16000	-4468.4076656753705	-4214.764176744328	-253.64348893104247	48.89611205846887	0.5051657042139659	0.15191448734389043	0.13670215591324805	0.03751733480946412	0.09449450310486414	0.08523851759350201	0.010159795353206106
17000	-4473.606275312325	-4220.837410206805	-252.76886510552075	38.18461711230688	0.5066340066360487	0.12742602343191378	0.14159652045356075	0.04173370045051775	0.12766606493924496	0.18384900588020237	0.014700966523758872
18000	-4466.352249301022	-4214.050423041623	-252.3018262593994	38.18461711230688	0.5066340066360487	0.1618018515847471	0.1730841076111657	0.04518955743045307	0.10320310532125823	0.1127194924007766	0.013808794541838879
